,figi,interval,o,c,h,l,v,time
0,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
1,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
2,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
3,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
4,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
5,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
6,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
7,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
8,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
9,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
10,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
11,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
12,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
13,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
14,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
15,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
16,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
17,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
18,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
19,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
20,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
21,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
22,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
23,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
24,BBG004S68BH6,15min,1431.3,1430.0,1432.0,1430.0,2832,2021-09-30T20:45:00+00:00
